Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY BANK","35,114.40","35,596.95","35,113.75","35,481.70","418.10","1.19","2,103.20","4,234.68","41,829.60","4,632.70","13.35","-0.60"
"KOTAKBANK","1,762.00","1,801.00","1,760.05","1,797.80","42.55","2.42","22.13","396.50","2,253.00","1,626.00","-10.91","-8.36"
"IDFCFIRSTB","47.65","49.35","47.25","48.40","0.90","1.89","487.68","235.60","69.30","35.90","32.06","8.52"
"SBIN","454.25","461.40","453.10","460.20","8.50","1.88","100.06","459.33","542.30","269.50","66.20","-0.08"
"AXISBANK","672.95","686.50","671.20","679.85","11.00","1.64","55.87","380.05","866.90","616.00","8.76","3.69"
"HDFCBANK","1,461.50","1,484.80","1,461.50","1,481.00","19.50","1.33","31.63","467.60","1,725.00","1,342.00","3.39","-0.84"
"BANDHANBNK","249.00","253.75","247.10","252.00","3.20","1.29","37.65","94.66","424.90","229.55","-37.95","-7.51"
"FEDERALBNK","82.20","83.50","82.10","83.05","0.85","1.03","75.08","62.28","107.65","66.25","23.49","-4.32"
"ICICIBANK","736.55","746.25","736.55","740.80","5.10","0.69","69.73","517.15","867.00","512.00","40.10","3.70"
"PNB","37.25","37.60","37.05","37.35","0.20","0.54","314.12","117.29","48.20","31.90","14.05","0.13"
"INDUSINDBK","881.50","892.90","878.40","887.85","2.45","0.28","36.06","319.53","1,242.00","789.00","-1.25","0.55"
"AUBANK","1,030.00","1,054.45","1,028.30","1,039.15","-4.20","-0.40","7.40","77.17","1,389.85","840.50","21.90","-5.20"
"RBLBANK","128.20","133.25","123.80","127.70","-3.00","-2.30","865.79","1,107.52","274.30","123.80","-45.08","-30.08"
